Shot,Success,Detected_Frames,Detection_Rate,Speed_m_s,Launch_Angle_deg,Direction_Angle_deg
1,No,0,0.00%,N/A,N/A,N/A
2,Yes,3,23.08%,2478.39,75.75,90.63
3,Yes,2,8.70%,1834.91,75.85,89.38
4,Yes,2,8.70%,2025.97,75.68,89.81
5,Yes,2,8.70%,1913.47,75.94,88.50
6,Yes,2,8.70%,1535.58,75.66,90.34
7,Yes,2,8.70%,1471.74,75.83,89.01
8,Yes,2,8.70%,3018.84,75.83,90.52
9,Yes,2,8.70%,2705.71,75.65,90.44
15,Yes,3,13.04%,1919.04,75.70,91.26
16,Yes,2,8.70%,2005.93,75.98,90.24
17,Yes,2,8.70%,2441.20,75.62,90.88
18,Yes,2,8.70%,1555.79,75.96,87.82
19,Yes,2,8.70%,3826.55,75.57,91.19
20,Yes,2,8.70%,2272.94,75.68,89.93
