Shot,Success,Detected_Frames,Detection_Rate,Speed_m_s,Launch_Angle_deg,Direction_Angle_deg,Method
1,No,0,0.00%,N/A,N/A,N/A,fundamental_size_based
2,Yes,3,23.08%,740.78,0.99,-86.88,fundamental_size_based
3,Yes,3,13.04%,1404.62,0.74,-88.82,fundamental_size_based
4,Yes,3,13.04%,1858.88,0.69,-89.07,fundamental_size_based
5,Yes,3,13.04%,1606.81,1.00,-89.01,fundamental_size_based
6,Yes,3,13.04%,1083.44,0.45,-88.53,fundamental_size_based
7,Yes,3,13.04%,975.67,1.09,-87.57,fundamental_size_based
8,Yes,3,13.04%,1852.44,0.71,-89.65,fundamental_size_based
9,Yes,2,8.70%,825.89,0.72,-87.50,fundamental_size_based
10,Yes,2,8.70%,955.79,0.69,-88.44,fundamental_size_based
11,Yes,3,13.04%,1691.56,0.88,-89.07,fundamental_size_based
12,Yes,2,8.70%,1472.88,2.52,-78.87,fundamental_size_based
13,Yes,3,13.04%,1338.51,0.81,-88.64,fundamental_size_based
14,Yes,4,17.39%,1274.20,1.99,-81.20,fundamental_size_based
15,Yes,3,13.04%,561.58,1.01,-86.03,fundamental_size_based
16,Yes,3,13.04%,1760.08,0.93,-88.78,fundamental_size_based
17,Yes,3,13.04%,2463.29,0.52,-89.29,fundamental_size_based
18,Yes,3,13.04%,1055.72,1.17,-87.43,fundamental_size_based
19,Yes,3,13.04%,1403.65,1.42,66.93,fundamental_size_based
20,Yes,3,13.04%,2427.96,0.81,-89.50,fundamental_size_based
