Shot,Success,Detected_Frames,Detection_Rate,Speed_m_s,Launch_Angle_deg,Direction_Angle_deg,Correction_Factor,Method
1,No,0,0.00%,N/A,N/A,N/A,0.136,real_distance_correction
2,Yes,3,23.08%,393.10,0.57,-90.16,0.136,real_distance_correction
3,Yes,2,8.70%,291.16,0.68,-89.84,0.136,real_distance_correction
4,Yes,2,8.70%,321.23,0.50,-89.95,0.136,real_distance_correction
5,Yes,2,8.70%,303.77,0.79,-89.62,0.136,real_distance_correction
6,Yes,2,8.70%,243.46,0.48,-90.09,0.136,real_distance_correction
7,Yes,2,8.70%,233.52,0.66,-89.75,0.136,real_distance_correction
8,Yes,2,8.70%,478.99,0.66,-90.13,0.136,real_distance_correction
9,Yes,2,8.70%,428.95,0.47,-90.11,0.136,real_distance_correction
10,Yes,2,8.70%,475.36,0.55,-90.05,0.136,real_distance_correction
11,Yes,2,8.70%,311.28,0.77,-89.91,0.136,real_distance_correction
12,No,0,0.00%,N/A,N/A,N/A,0.136,real_distance_correction
13,Yes,2,8.70%,272.23,0.64,-89.76,0.136,real_distance_correction
14,Yes,3,13.04%,96.37,5.84,48.89,0.136,real_distance_correction
15,Yes,3,13.04%,304.31,0.52,-90.32,0.136,real_distance_correction
16,Yes,2,8.70%,318.50,0.82,-90.06,0.136,real_distance_correction
17,Yes,2,8.70%,386.97,0.44,-90.23,0.136,real_distance_correction
18,Yes,2,8.70%,247.02,0.81,-89.46,0.136,real_distance_correction
19,Yes,2,8.70%,606.42,0.38,-90.31,0.136,real_distance_correction
20,Yes,2,8.70%,360.39,0.50,-89.98,0.136,real_distance_correction
