Shot,Real_Speed,ROI_Corrected_Speed,Speed_Ratio,Speed_Error_Percent,Real_Launch_Angle,ROI_Corrected_Launch_Angle,Launch_Angle_Error,Real_Direction_Angle,ROI_Corrected_Direction_Angle,Direction_Angle_Error
2,60.9,2402.251672853911,39.445840276747305,3844.5840276747304,9.3,0.5742011291368238,8.725798870863176,0.4,-90.160377171483,90.56037717148301
3,56.2,1779.3345781555295,31.66075761842579,3066.0757618425787,3.9,0.6772081351482631,3.222791864851737,-2.3,-89.8441801160585,87.5441801160585
4,61.1,1963.0625167422538,32.128682761739014,3112.8682761739014,6.7,0.4965508181253591,6.203449181874641,-2.1,-89.95225352812486,87.85225352812486
5,53.9,1856.3924487591212,34.44141834432507,3344.1418344325066,3.5,0.785704531920152,2.714295468079848,-7.8,-89.62417236032633,81.82417236032633
6,60.0,1487.7821725688227,24.79636954281371,2379.636954281371,8.2,0.4784583391852668,7.721541660814733,3.3,-90.08745138503099,93.38745138503099
7,60.5,1427.0629793889627,23.58781784113988,2258.781784113988,10.3,0.6613213644350695,9.638678635564931,-2.3,-89.75062851522046,87.45062851522046
8,60.0,2927.1892985156696,48.78648830859449,4778.648830859449,10.6,0.6603094021980175,9.939690597801983,-0.7,-90.1323817938077,89.43238179380769
9,61.1,2621.3794282464496,42.90310029863256,4190.310029863256,7.4,0.4686784588870197,6.931321541112981,-0.5,-90.11149434913135,89.61149434913135
10,58.6,2904.956688889804,49.572639742146826,4857.263974214683,7.5,0.5485370561975587,6.951462943802442,0.3,-90.05146008442928,90.35146008442928
11,60.2,1902.2668590509552,31.59911725998264,3059.911725998264,12.0,0.7720810899651894,11.227918910034811,-3.8,-89.90723548565282,86.10723548565282
13,59.7,1663.6421478581483,27.866702644190088,2686.6702644190086,6.0,0.6389028449342566,5.361097155065743,-4.6,-89.76387327579309,85.1638732757931
14,61.1,588.9261882203452,9.638726484784701,863.8726484784702,8.8,5.840713492885941,2.9592865071140597,-0.6,48.89297860811496,49.49297860811496
15,58.6,1859.65422655967,31.73471376381689,3073.4713763816894,14.3,0.5214520616057731,13.778547938394228,4.0,-90.32075811445108,94.32075811445108
16,61.0,1946.3888421486752,31.908013805715985,3090.8013805715987,9.2,0.8214517744820943,8.378548225517905,-3.5,-90.05917871835909,86.55917871835909
17,62.0,2364.819036274586,38.142242520557836,3714.224252055784,7.2,0.4395036607664752,6.760496339233525,0.3,-90.22521341931585,90.52521341931585
18,60.3,1509.5567964760905,25.034109394296692,2403.4109394296697,5.4,0.8123569719178472,4.587643028082153,-6.2,-89.45555490594145,83.25555490594145
19,59.8,3705.904283009179,61.97164352858159,6097.164352858159,13.0,0.38196077259761624,12.618039227402384,6.5,-90.30557459345856,96.80557459345856
20,59.8,2202.3685431408,36.8289054036923,3582.89054036923,10.1,0.4965509629453919,9.603449037054608,-3.8,-89.98090140753634,86.18090140753634
