Shot,Success,Detected_Frames,Detection_Rate,Speed_m_s,Launch_Angle_deg,Direction_Angle_deg,Scale_Factor
1,No,0,0.00%,N/A,N/A,N/A,4.800
2,Yes,3,23.08%,3787.59,39.36,90.13,4.800
3,Yes,2,8.70%,2793.54,39.56,89.87,4.800
4,Yes,2,8.70%,3105.06,39.21,89.96,4.800
5,Yes,2,8.70%,2901.42,39.77,89.69,4.800
6,Yes,2,8.70%,2355.04,39.18,90.07,4.800
7,Yes,2,8.70%,2241.94,39.53,89.79,4.800
8,Yes,2,8.70%,4598.87,39.53,90.11,4.800
9,Yes,2,8.70%,4151.10,39.16,90.09,4.800
10,Yes,2,8.70%,4585.06,39.31,90.04,4.800
11,Yes,2,8.70%,2974.84,39.75,89.92,4.800
12,No,0,0.00%,N/A,N/A,N/A,4.800
13,Yes,2,8.70%,2616.03,39.49,89.81,4.800
14,Yes,3,13.04%,1029.93,25.38,-65.55,4.800
15,Yes,3,13.04%,2938.45,39.26,90.26,4.800
16,Yes,2,8.70%,3037.62,39.84,90.05,4.800
17,Yes,2,8.70%,3749.31,39.10,90.18,4.800
18,Yes,2,8.70%,2356.70,39.82,89.55,4.800
19,Yes,2,8.70%,5889.43,38.99,90.25,4.800
20,Yes,2,8.70%,3483.58,39.21,89.98,4.800
